case_id,dni,edad,provincia,antiguedad_domicilio_meses,situacion_laboral,antiguedad_laboral_meses,ingresos_mensuales,score_crediticio,deuda_total,cantidad_deudas,cheques_rechazados,tipo_siniestro,frecuencia_siniestros_ultimo_anio,monto_reclamado,repite_domicilio,repite_telefono,cambio_aseguradora_frecuente,denuncia_tardia,siniestro_cerca_vencimiento,testigo_repetido,inconsistencia_ingresos_vs_deuda,inconsistencia_laboral,datos_incompletos,mes_siniestro,trimestre_siniestro,dia_semana_siniestro,fin_de_semana_siniestro,requiere_revision,nivel_riesgo,fraude,split
CASE-00988,28179484,49,mendoza,50,empleado,30,292071,649,364518,0,0,robo,2,324879,0,0,0,0,0,0,0,0,0,12,4,3,0,0,bajo,0,train_balanced
CASE-00946,32812854,31,caba,40,monotributista,10,217768,779,466667,3,0,hogar,0,113525,0,0,0,0,0,0,0,0,0,3,1,5,1,0,bajo,0,train_balanced
CASE-00910,46274693,34,cordoba,50,monotributista,4,211072,795,610087,3,0,robo,0,145198,0,0,0,1,0,0,0,0,0,7,3,4,0,0,bajo,0,train_balanced
CASE-00246,22459507,41,neuquen,40,desempleado,19,94221,670,18995,0,0,comercio,0,128825,0,0,0,0,0,0,0,0,0,8,3,6,1,0,bajo,0,train_balanced
CASE-00538,44068274,24,salta,128,empleado,103,305630,618,377824,0,0,robo,1,228730,0,1,0,0,1,1,0,0,0,1,1,2,0,0,bajo,0,train_balanced
CASE-00993,23817580,49,caba,32,empleado,67,106812,696,209524,2,0,comercio,1,76470,0,0,0,0,0,0,0,0,0,1,1,1,0,0,bajo,0,train_balanced
CASE-00765,34688967,20,neuquen,17,empleado,10,320688,561,144707,2,0,robo,1,50109,0,0,0,0,0,0,0,0,0,2,1,1,0,0,bajo,0,train_balanced
CASE-00460,24604156,42,santa fe,15,monotributista,6,128530,529,151212,1,0,comercio,0,109829,0,0,0,0,0,0,0,0,0,11,4,5,1,0,bajo,0,train_balanced
CASE-00907,32982508,31,neuquen,55,empleado,31,309011,504,409512,4,0,lesiones,2,93355,0,0,0,0,0,0,0,0,0,11,4,2,0,0,bajo,0,train_balanced
CASE-00041,32037574,39,buenos aires,57,desempleado,2,126608,629,165434,0,0,hogar,1,161778,0,0,0,0,0,0,0,0,0,1,1,6,1,0,bajo,0,train_balanced
CASE-00033,33672297,60,cordoba,82,empleado,43,257702,451,0,0,2,robo,0,302851,0,0,0,0,0,0,0,0,0,4,2,4,0,0,bajo,0,train_balanced
CASE-00038,37336140,50,neuquen,57,monotributista,6,56898,593,48158,1,0,lesiones,0,175682,0,0,0,0,0,0,0,0,0,8,3,1,0,0,bajo,0,train_balanced
CASE-00655,30695586,21,santa fe,54,empleado,49,312173,682,283521,0,0,robo,0,83685,0,0,0,0,0,0,0,0,0,10,4,5,1,0,bajo,0,train_balanced
CASE-00264,37887186,53,neuquen,29,desempleado,0,140172,724,332813,3,0,lesiones,2,100739,1,0,1,0,0,0,0,0,0,4,2,1,0,0,bajo,0,train_balanced
CASE-00146,30047698,59,buenos aires,25,empleado,52,145586,830,252241,4,1,lesiones,0,130486,0,0,0,1,0,0,0,0,0,7,3,1,0,0,bajo,0,train_balanced
CASE-00325,24056926,34,santa fe,32,empleado,62,226543,808,643645,1,0,lesiones,0,316437,1,0,0,0,0,0,1,0,0,12,4,0,0,1,medio,0,train_balanced
CASE-00871,35310929,28,buenos aires,42,empleado,17,250918,770,24474,2,1,robo,1,87859,0,0,0,0,0,0,0,0,0,8,3,0,0,0,bajo,0,train_balanced
CASE-00116,43076157,29,caba,107,empleado,23,198335,501,573352,4,0,auto,1,74755,0,0,0,0,0,0,1,0,0,8,3,3,0,0,bajo,0,train_balanced
CASE-00824,39478868,52,salta,92,desempleado,5,108491,604,226184,0,0,auto,0,416570,0,1,0,0,0,0,0,0,1,7,3,4,0,1,medio,0,train_balanced
CASE-00834,21238663,44,tucuman,49,desempleado,3,88162,677,270885,1,1,comercio,2,1081241,0,0,0,0,0,1,1,0,0,2,1,3,0,1,alto,1,train_balanced
CASE-00961,44402086,24,neuquen,39,autonomo,18,409666,579,929310,4,0,comercio,2,203433,0,0,0,0,0,0,0,0,0,4,2,5,1,0,bajo,0,train_balanced
CASE-00361,38045646,31,mendoza,49,autonomo,27,589119,580,223078,0,0,hogar,1,276316,0,0,0,0,0,0,0,0,0,12,4,3,0,0,bajo,0,train_balanced
CASE-00083,37565659,44,salta,77,monotributista,11,103378,793,90451,4,0,hogar,0,546158,0,0,0,0,0,0,0,0,0,11,4,3,0,0,bajo,0,train_balanced
CASE-00766,44306203,31,buenos aires,64,empleado,30,306855,810,402515,1,2,lesiones,1,88920,0,1,0,0,0,0,0,0,0,9,3,1,0,0,bajo,0,train_balanced
CASE-00831,20243977,49,salta,54,empleado,13,156961,665,219660,1,0,hogar,2,196017,0,0,0,0,0,0,0,0,0,3,1,1,0,0,bajo,0,train_balanced
CASE-00391,27436949,18,neuquen,66,autonomo,17,131669,649,266774,3,1,auto,0,314368,0,0,0,0,0,0,0,0,0,2,1,6,1,0,bajo,0,train_balanced
CASE-00747,25517592,31,mendoza,46,empleado,27,276776,753,7754,2,2,lesiones,0,109798,0,1,0,0,0,0,0,0,0,4,2,4,0,0,bajo,0,train_balanced
CASE-00051,24876872,44,salta,31,empleado,104,227220,860,446866,1,2,comercio,0,223249,0,0,0,0,1,0,0,0,0,7,3,3,0,0,bajo,0,train_balanced
CASE-00801,38225392,45,caba,48,desempleado,4,31942,555,32284,2,0,comercio,2,71488,0,0,0,0,0,0,0,0,0,11,4,0,0,0,bajo,0,train_balanced
CASE-00327,30645005,32,buenos aires,64,desempleado,1,57768,649,81419,3,0,lesiones,1,158301,0,0,0,0,1,0,0,0,0,9,3,5,1,0,bajo,0,train_balanced
CASE-00692,40520517,27,tucuman,68,empleado,26,217107,683,349645,0,0,robo,2,589896,0,0,0,0,0,0,0,0,1,4,2,4,0,1,medio,0,train_balanced
CASE-00331,40419677,40,tucuman,16,monotributista,4,92498,680,0,1,0,robo,0,72323,0,0,0,1,0,0,0,0,0,12,4,2,0,0,bajo,0,train_balanced
CASE-00590,28913042,37,neuquen,66,autonomo,24,477945,894,525090,0,0,lesiones,0,90307,0,0,0,0,0,0,0,0,0,4,2,6,1,0,bajo,0,train_balanced
CASE-00095,41864908,43,buenos aires,74,monotributista,6,235227,674,290490,2,1,robo,1,797483,0,0,0,0,0,0,0,0,0,9,3,4,0,0,bajo,0,train_balanced
CASE-00839,30565845,59,cordoba,26,empleado,27,95577,548,132257,0,1,comercio,0,147366,0,0,0,0,0,0,0,0,0,5,2,6,1,0,bajo,0,train_balanced
CASE-00035,44319751,28,mendoza,169,monotributista,20,192589,603,554179,1,2,auto,0,174142,0,0,0,0,1,0,1,0,0,10,4,1,0,1,medio,0,train_balanced
CASE-00919,33697256,40,buenos aires,65,desempleado,1,151866,757,59873,3,0,robo,0,30288,1,0,0,0,0,0,0,0,0,12,4,4,0,0,bajo,0,train_balanced
CASE-00125,25053127,43,mendoza,110,empleado,37,253575,501,198783,1,0,lesiones,0,1178772,0,0,0,0,0,0,0,0,0,7,3,1,0,0,bajo,0,train_balanced
CASE-00950,44351236,39,santa fe,84,autonomo,29,25000,749,60260,4,0,comercio,2,354759,0,0,0,0,0,0,0,0,0,4,2,6,1,0,bajo,0,train_balanced
CASE-00065,30831890,42,salta,56,desempleado,9,52454,694,92391,2,0,hogar,2,168493,0,0,0,0,0,0,0,0,0,3,1,1,0,0,bajo,0,train_balanced
CASE-00973,36877257,45,buenos aires,14,empleado,12,252173,640,467003,3,0,lesiones,2,583812,0,0,0,0,0,0,0,0,0,3,1,3,0,0,bajo,0,train_balanced
CASE-00421,33669152,45,salta,101,monotributista,28,187236,628,0,1,0,comercio,0,131931,0,0,0,0,0,0,0,0,0,11,4,5,1,0,bajo,0,train_balanced
CASE-00815,44177368,35,mendoza,49,monotributista,38,193302,791,288039,0,2,robo,1,268380,0,0,0,0,0,0,0,0,0,9,3,1,0,0,bajo,0,train_balanced
CASE-00740,45462005,53,cordoba,72,empleado,83,157746,672,186970,2,0,comercio,0,137710,0,0,0,1,0,0,0,0,0,12,4,2,0,0,bajo,0,train_balanced
CASE-00689,40721027,43,cordoba,64,empleado,37,212573,630,422613,2,1,lesiones,1,193150,0,0,0,0,0,0,0,0,0,2,1,0,0,0,bajo,0,train_balanced
CASE-00845,37914023,39,cordoba,135,monotributista,22,222587,569,287170,2,0,lesiones,1,319700,1,0,0,0,0,0,0,0,1,9,3,1,0,1,medio,0,train_balanced
CASE-00441,34170396,42,neuquen,94,empleado,74,97428,615,0,1,2,auto,1,141339,0,0,0,0,0,0,0,0,0,8,3,1,0,0,bajo,0,train_balanced
CASE-00922,29943812,50,cordoba,103,empleado,66,345578,646,540458,3,0,robo,3,228653,0,0,0,0,1,0,0,0,0,8,3,6,1,0,bajo,0,train_balanced
CASE-00046,28127125,60,neuquen,59,monotributista,14,256230,784,327420,2,1,lesiones,0,114087,0,0,0,0,0,0,0,0,0,2,1,1,0,0,bajo,0,train_balanced
CASE-00929,35420758,41,neuquen,17,monotributista,25,149318,842,22195,1,0,hogar,2,205324,0,0,0,0,0,0,0,0,1,10,4,6,1,1,medio,0,train_balanced
CASE-00834,21238663,44,tucuman,49,desempleado,3,88162,677,270885,1,1,comercio,2,1081241,0,0,0,0,0,1,1,0,0,2,1,3,0,1,alto,1,train_balanced
CASE-00526,29950852,70,tucuman,94,desempleado,13,68649,573,178955,0,2,comercio,0,324271,0,0,0,0,0,0,1,0,0,4,2,3,0,1,alto,1,train_balanced
CASE-00678,44697571,39,caba,79,monotributista,23,138030,832,0,1,1,lesiones,1,456340,0,0,0,0,0,0,0,0,0,11,4,4,0,0,bajo,0,train_balanced
CASE-00834,21238663,44,tucuman,49,desempleado,3,88162,677,270885,1,1,comercio,2,1081241,0,0,0,0,0,1,1,0,0,2,1,3,0,1,alto,1,train_balanced
CASE-00860,24904156,25,cordoba,35,empleado,76,131580,532,99748,1,0,auto,1,183404,0,0,0,0,0,0,0,0,0,8,3,0,0,0,bajo,0,train_balanced
CASE-00616,38754216,36,salta,13,empleado,56,290262,558,914302,0,1,robo,1,289301,0,0,0,0,0,0,1,0,0,11,4,6,1,0,bajo,0,train_balanced
CASE-00440,32543416,21,santa fe,46,monotributista,9,215305,580,0,0,0,auto,1,127269,0,0,0,0,0,0,0,0,0,2,1,0,0,0,bajo,0,train_balanced
CASE-00256,36636098,19,santa fe,5,desempleado,3,80752,501,101074,3,2,robo,1,35873,0,0,0,0,0,0,0,0,0,10,4,6,1,0,bajo,0,train_balanced
CASE-00474,32765071,40,salta,54,autonomo,13,271011,597,622755,0,1,auto,0,219274,0,0,0,0,0,0,0,0,0,11,4,3,0,0,bajo,0,train_balanced
CASE-00703,36075122,45,salta,44,empleado,49,122940,739,378987,1,0,lesiones,0,60626,1,0,0,0,0,0,1,0,0,6,2,5,1,1,medio,0,train_balanced
CASE-00093,25934261,30,caba,36,monotributista,38,84190,540,140980,2,0,auto,0,53104,0,0,0,0,0,0,0,0,0,3,1,0,0,0,bajo,0,train_balanced
CASE-00285,41654539,45,santa fe,48,empleado,50,166391,679,81912,3,1,lesiones,1,76729,0,0,0,0,0,0,0,0,0,5,2,0,0,0,bajo,0,train_balanced
CASE-00885,46161134,47,cordoba,17,autonomo,28,319114,280,461360,2,1,robo,1,313028,0,1,0,0,0,0,0,0,1,3,1,0,0,1,medio,0,train_balanced
CASE-00933,24021490,18,neuquen,40,monotributista,44,287609,485,300925,3,0,comercio,0,131730,0,0,0,1,0,0,0,0,0,10,4,5,1,0,bajo,0,train_balanced
CASE-00157,35516706,23,cordoba,37,empleado,13,175518,657,134724,0,0,robo,0,156285,0,0,0,0,0,0,0,0,0,9,3,2,0,0,bajo,0,train_balanced
CASE-00446,35571187,18,santa fe,96,empleado,46,464141,784,608438,1,0,lesiones,3,307708,0,0,0,0,0,0,0,0,0,9,3,0,0,0,bajo,0,train_balanced
CASE-00501,31244866,29,neuquen,72,monotributista,44,140447,569,0,2,0,robo,0,365293,0,1,0,0,0,0,0,0,0,7,3,1,0,0,bajo,0,train_balanced
CASE-00058,31476429,33,caba,52,empleado,128,168616,510,0,1,1,lesiones,2,78218,0,0,0,0,0,0,0,0,0,11,4,2,0,0,bajo,0,train_balanced
CASE-00526,29950852,70,tucuman,94,desempleado,13,68649,573,178955,0,2,comercio,0,324271,0,0,0,0,0,0,1,0,0,4,2,3,0,1,alto,1,train_balanced
CASE-00020,36751329,33,tucuman,68,empleado,46,276299,756,687220,1,1,comercio,1,202742,0,0,0,0,0,0,0,0,0,6,2,3,0,0,bajo,0,train_balanced
CASE-00197,29886458,50,salta,89,monotributista,36,103164,709,239651,0,0,comercio,0,357882,0,0,0,0,0,0,0,0,0,11,4,5,1,0,bajo,0,train_balanced
CASE-00686,23181653,37,cordoba,44,empleado,48,199658,653,309296,1,0,robo,1,247623,0,0,0,0,1,0,0,0,0,8,3,2,0,0,bajo,0,train_balanced
CASE-00547,37951004,44,neuquen,15,empleado,57,114339,511,135302,3,0,auto,0,147509,0,0,0,0,0,0,0,0,0,2,1,1,0,0,bajo,0,train_balanced
CASE-00357,40590425,46,cordoba,42,empleado,40,145656,528,204658,1,0,robo,1,133687,0,0,0,1,0,0,0,0,0,1,1,5,1,0,bajo,0,train_balanced
CASE-00991,27224321,46,tucuman,73,autonomo,3,283747,746,348534,2,1,comercio,1,126884,1,0,0,0,0,0,0,0,0,6,2,2,0,0,bajo,0,train_balanced
CASE-00454,30089617,33,neuquen,9,empleado,59,169392,495,425478,2,0,hogar,1,720569,0,0,0,0,0,0,1,0,0,10,4,5,1,1,medio,0,train_balanced
CASE-00856,28156304,54,mendoza,56,autonomo,19,123506,491,83142,1,0,lesiones,1,205647,0,0,0,0,0,0,0,0,0,3,1,6,1,0,bajo,0,train_balanced
CASE-00445,34383068,38,neuquen,66,empleado,49,361610,631,4851,3,0,lesiones,0,309964,0,0,0,1,1,0,0,0,0,5,2,5,1,0,bajo,0,train_balanced
CASE-00107,33321008,28,buenos aires,45,autonomo,14,483708,854,288936,2,0,lesiones,0,163896,0,0,0,0,0,0,0,0,0,11,4,6,1,0,bajo,0,train_balanced
CASE-00037,34229748,34,santa fe,79,desempleado,0,25000,498,57511,3,0,hogar,1,224848,0,1,0,0,0,0,1,0,0,8,3,5,1,1,medio,0,train_balanced
CASE-00160,33984068,47,mendoza,134,autonomo,28,251624,558,472891,0,0,comercio,0,147695,0,0,0,0,0,0,0,0,0,8,3,6,1,0,bajo,0,train_balanced
CASE-00296,45370986,38,cordoba,24,autonomo,61,83148,615,31052,2,0,hogar,0,372536,0,0,0,0,0,0,0,0,1,2,1,3,0,1,medio,0,train_balanced
CASE-00162,40485417,25,santa fe,21,empleado,62,155130,627,17885,3,2,robo,0,305542,0,0,0,0,1,0,0,0,0,9,3,0,0,0,bajo,0,train_balanced
CASE-00122,37815434,49,cordoba,112,desempleado,2,98174,418,0,2,0,lesiones,1,168298,0,1,0,0,1,0,0,0,0,12,4,5,1,1,medio,0,train_balanced
CASE-00406,27931329,36,tucuman,58,empleado,33,180995,548,189382,4,1,comercio,0,171248,0,0,0,0,0,0,0,0,0,11,4,5,1,0,bajo,0,train_balanced
CASE-00758,26833412,45,tucuman,93,autonomo,29,401340,584,470428,2,0,comercio,1,125794,0,0,0,0,0,0,0,0,0,1,1,0,0,0,bajo,0,train_balanced
CASE-00180,37846628,41,salta,78,monotributista,15,243686,478,184105,1,2,comercio,0,86902,0,0,0,0,1,0,0,0,0,7,3,6,1,0,bajo,0,train_balanced
CASE-00858,24332006,34,mendoza,24,empleado,91,192729,560,97559,4,0,lesiones,0,152192,0,0,0,0,0,0,0,0,0,11,4,1,0,0,bajo,0,train_balanced
CASE-00571,21705950,65,tucuman,48,monotributista,19,213501,563,144381,0,0,hogar,1,120979,0,0,0,0,0,0,0,0,0,4,2,2,0,0,bajo,0,train_balanced
CASE-00489,40000695,43,santa fe,16,monotributista,18,111437,548,75457,1,0,comercio,0,224985,0,0,0,0,0,0,0,0,1,6,2,3,0,1,medio,0,train_balanced
CASE-00675,24263402,62,caba,46,monotributista,8,86494,605,67590,2,1,hogar,1,517350,0,0,0,0,0,0,0,0,0,10,4,5,1,0,bajo,0,train_balanced
CASE-00129,22848439,54,buenos aires,41,empleado,34,338760,827,38655,1,0,robo,1,263804,0,0,0,0,0,0,0,0,0,6,2,6,1,0,bajo,0,train_balanced
CASE-00718,28001565,42,caba,19,empleado,18,150864,604,191826,2,0,robo,0,299417,0,0,0,0,0,0,0,0,0,12,4,2,0,0,bajo,0,train_balanced
CASE-00231,25385201,45,santa fe,98,monotributista,23,306532,695,45848,3,1,hogar,0,150369,0,0,0,0,0,0,0,0,0,1,1,2,0,0,bajo,0,train_balanced
CASE-00700,31888784,30,buenos aires,68,monotributista,31,214262,740,0,1,1,auto,0,444940,0,0,1,0,0,0,0,0,1,3,1,5,1,1,medio,0,train_balanced
CASE-00745,41231326,51,tucuman,58,empleado,54,228500,601,299855,1,2,hogar,3,403032,0,0,0,0,0,0,0,0,0,1,1,3,0,0,bajo,0,train_balanced
CASE-00804,45655584,43,tucuman,49,autonomo,13,511463,694,863231,0,0,hogar,0,418370,0,1,0,0,0,0,0,0,0,12,4,3,0,0,bajo,0,train_balanced
CASE-00632,25441619,35,cordoba,43,desempleado,16,89223,428,52473,0,0,hogar,1,428765,0,0,0,0,0,0,0,0,0,5,2,5,1,0,bajo,0,train_balanced
CASE-00693,28674803,21,cordoba,44,empleado,70,50663,588,61069,1,2,lesiones,2,564768,0,0,0,1,0,0,0,0,1,6,2,5,1,1,medio,0,train_balanced
CASE-00465,40264038,49,cordoba,29,empleado,66,246462,436,373621,3,0,lesiones,3,166754,0,0,0,0,0,0,0,0,0,1,1,3,0,0,bajo,0,train_balanced
CASE-00952,29115156,57,buenos aires,21,empleado,38,116514,505,132951,0,0,auto,0,401237,0,0,0,1,0,0,0,0,0,10,4,6,1,0,bajo,0,train_balanced
CASE-00785,39357168,57,neuquen,5,empleado,29,63359,563,24429,1,1,auto,0,283935,0,0,0,0,0,0,0,0,0,12,4,4,0,0,bajo,0,train_balanced
CASE-00810,25836369,35,santa fe,54,empleado,29,444708,852,955820,3,0,auto,0,252626,0,0,0,0,0,0,0,0,0,3,1,6,1,0,bajo,0,train_balanced
CASE-00737,34854556,35,caba,74,empleado,80,241528,550,0,1,0,robo,0,362045,0,0,0,0,0,0,0,0,0,1,1,1,0,0,bajo,0,train_balanced
CASE-00965,35418348,59,salta,17,empleado,37,352373,772,414543,3,1,comercio,0,234563,0,1,0,0,0,0,0,0,0,1,1,5,1,0,bajo,0,train_balanced
CASE-00642,20094138,38,cordoba,46,empleado,35,150478,546,372854,2,0,hogar,1,314978,0,0,0,0,0,0,0,0,0,7,3,6,1,0,bajo,0,train_balanced
CASE-00526,29950852,70,tucuman,94,desempleado,13,68649,573,178955,0,2,comercio,0,324271,0,0,0,0,0,0,1,0,0,4,2,3,0,1,alto,1,train_balanced
CASE-00201,37675844,33,mendoza,151,empleado,19,131884,511,269876,1,4,auto,0,319296,0,0,0,0,0,0,0,0,0,2,1,0,0,0,bajo,0,train_balanced
CASE-00954,35571994,24,tucuman,22,desempleado,3,87704,689,92542,1,1,lesiones,0,244727,0,0,0,0,0,0,0,0,0,4,2,2,0,0,bajo,0,train_balanced
CASE-00887,42158705,18,tucuman,28,empleado,31,175346,520,226508,1,0,hogar,1,64983,0,0,0,0,0,0,0,0,0,8,3,1,0,0,bajo,0,train_balanced
CASE-00902,46914453,34,mendoza,37,monotributista,79,276988,608,786553,1,1,robo,0,112444,0,0,0,0,0,0,1,0,0,11,4,5,1,0,bajo,0,train_balanced
CASE-00662,38939304,46,santa fe,66,empleado,77,318541,450,439629,2,0,comercio,1,517159,1,1,0,0,0,0,0,0,0,1,1,3,0,0,bajo,0,train_balanced
CASE-00266,42768449,26,salta,81,empleado,47,291347,555,94807,3,1,lesiones,2,224787,0,0,0,0,0,0,0,0,0,7,3,3,0,0,bajo,0,train_balanced
CASE-00321,46439695,43,salta,55,empleado,15,203798,682,334986,2,0,comercio,1,298166,0,0,0,0,1,0,0,0,0,4,2,5,1,0,bajo,0,train_balanced
CASE-00172,38848304,20,caba,41,monotributista,6,50934,542,53090,1,1,hogar,2,262004,0,0,0,1,0,0,0,0,0,3,1,6,1,0,bajo,0,train_balanced
CASE-00449,43989507,34,cordoba,29,empleado,52,175729,376,461571,1,0,auto,1,506224,1,0,0,0,0,0,0,0,0,11,4,5,1,1,medio,0,train_balanced
CASE-00890,21894089,30,mendoza,71,monotributista,17,319798,640,311736,2,0,hogar,0,112932,0,1,0,0,0,0,0,0,0,4,2,2,0,0,bajo,0,train_balanced
CASE-00340,27356505,28,mendoza,71,empleado,53,297812,561,318558,1,0,hogar,0,250629,0,0,0,0,0,0,0,0,0,7,3,2,0,0,bajo,0,train_balanced
CASE-00694,39456461,50,caba,47,desempleado,8,75313,736,165852,4,0,lesiones,0,1088938,0,0,1,0,0,1,0,0,0,1,1,5,1,1,medio,0,train_balanced
CASE-00751,34112317,38,tucuman,72,autonomo,19,308555,687,823900,1,1,comercio,0,61912,0,0,0,0,0,0,1,0,0,1,1,0,0,0,bajo,0,train_balanced
CASE-00052,29890633,58,salta,62,empleado,77,119515,719,199812,2,0,robo,0,83559,0,0,0,0,0,0,0,0,0,7,3,4,0,0,bajo,0,train_balanced
CASE-00415,27736334,41,caba,17,monotributista,18,149013,608,78501,2,1,lesiones,1,110828,0,0,0,0,0,0,0,0,0,3,1,4,0,0,bajo,0,train_balanced
CASE-00526,29950852,70,tucuman,94,desempleado,13,68649,573,178955,0,2,comercio,0,324271,0,0,0,0,0,0,1,0,0,4,2,3,0,1,alto,1,train_balanced
CASE-00234,45790412,28,neuquen,27,empleado,5,222346,692,84176,1,0,comercio,3,479500,0,0,0,0,0,0,0,0,0,7,3,2,0,0,bajo,0,train_balanced
CASE-00583,23126919,23,neuquen,40,autonomo,31,427200,630,292684,1,0,lesiones,0,189028,0,0,0,0,0,0,0,0,0,6,2,1,0,0,bajo,0,train_balanced
CASE-00896,31267094,45,tucuman,16,monotributista,31,210576,837,165538,1,2,comercio,0,55470,0,1,0,0,0,0,0,0,0,12,4,3,0,0,bajo,0,train_balanced
CASE-00176,43463157,30,mendoza,66,autonomo,12,25000,679,0,1,0,robo,0,191729,0,0,0,0,0,0,0,0,0,9,3,3,0,0,bajo,0,train_balanced
CASE-00181,30194850,49,cordoba,50,monotributista,9,279435,539,881,3,1,hogar,0,62979,0,1,0,1,0,0,0,0,0,1,1,3,0,0,bajo,0,train_balanced
CASE-00317,38735970,48,cordoba,19,autonomo,20,32165,520,0,2,0,lesiones,0,56310,0,0,0,0,0,0,0,0,0,12,4,1,0,0,bajo,0,train_balanced
CASE-00617,41143713,39,salta,65,empleado,92,79505,568,81462,1,0,auto,0,476018,0,0,0,0,0,0,0,0,0,2,1,3,0,0,bajo,0,train_balanced
CASE-00786,33272756,26,caba,22,empleado,8,58649,513,59572,2,1,lesiones,1,200875,0,0,0,0,0,0,0,0,0,5,2,1,0,0,bajo,0,train_balanced
CASE-00192,22593449,39,santa fe,18,empleado,23,220280,684,384231,0,2,auto,0,371499,0,0,0,0,0,0,0,0,0,11,4,6,1,0,bajo,0,train_balanced
CASE-00134,33330322,44,caba,62,empleado,54,213187,660,320696,1,0,comercio,0,247253,1,0,0,0,0,0,0,0,0,12,4,1,0,0,bajo,0,train_balanced
CASE-00559,20310404,32,tucuman,3,autonomo,25,331731,674,0,1,1,comercio,1,82209,0,0,0,0,0,0,0,0,0,1,1,6,1,0,bajo,0,train_balanced
CASE-00615,45867740,37,tucuman,87,autonomo,36,40661,682,25516,3,1,auto,0,251205,0,0,0,0,0,0,0,0,0,9,3,1,0,0,bajo,0,train_balanced
CASE-00657,37488874,36,mendoza,112,empleado,37,162048,786,280171,5,1,robo,2,126193,0,0,0,0,0,0,0,0,0,6,2,0,0,0,bajo,0,train_balanced
CASE-00167,43262887,40,tucuman,22,empleado,26,49734,707,90266,2,2,hogar,3,91875,0,0,0,0,0,0,0,0,0,2,1,5,1,0,bajo,0,train_balanced
CASE-00252,40695662,37,mendoza,47,empleado,11,279395,747,382468,4,0,comercio,0,196959,0,0,0,0,0,0,0,0,0,8,3,2,0,0,bajo,0,train_balanced
CASE-00563,38433355,40,neuquen,64,empleado,14,289038,603,151520,0,0,auto,1,447793,0,1,0,0,0,0,0,0,0,10,4,5,1,0,bajo,0,train_balanced
CASE-00237,39773001,39,santa fe,37,autonomo,21,360432,399,584034,3,0,lesiones,0,259796,0,0,0,0,0,0,0,0,0,4,2,3,0,0,bajo,0,train_balanced
CASE-00781,25921047,25,mendoza,48,monotributista,26,228588,554,292837,2,0,hogar,0,171925,0,0,0,0,0,0,0,0,0,3,1,4,0,0,bajo,0,train_balanced
CASE-00304,21940711,28,buenos aires,26,empleado,30,334703,592,611071,2,0,robo,1,296820,0,0,0,0,0,0,0,0,0,7,3,0,0,0,bajo,0,train_balanced
CASE-00382,28146837,58,santa fe,42,empleado,37,236196,765,282857,0,1,robo,1,169631,0,0,0,0,0,0,0,0,0,4,2,6,1,0,bajo,0,train_balanced
